wavelength / nm,EQE / %
302.3752969,0
307.1258907,0
309.5011876,0
314.2517815,0
321.3776722,0
330.8788599,0
338.0047506,0
342.7553444,0.007272727
347.5059382,0.018181818
352.2565321,0.032727273
354.631829,0.036363636
357.0071259,0.043636364
361.7577197,0.054545455
364.1330166,0.061818182
366.5083135,0.069090909
368.8836105,0.08
371.2589074,0.087272727
371.2589074,0.094545455
371.2589074,0.101818182
371.2589074,0.12
373.6342043,0.138181818
373.6342043,0.156363636
376.0095012,0.167272727
376.0095012,0.192727273
376.0095012,0.214545455
378.3847981,0.232727273
380.760095,0.250909091
380.760095,0.272727273
380.760095,0.287272727
380.760095,0.305454545
383.1353919,0.323636364
383.1353919,0.341818182
383.1353919,0.36
385.5106888,0.389090909
385.5106888,0.425454545
385.5106888,0.450909091
387.8859857,0.469090909
387.8859857,0.494545455
387.8859857,0.505454545
387.8859857,0.538181818
390.2612827,0.574545455
392.6365796,0.610909091
397.3871734,0.650909091
402.1377672,0.68
409.263658,0.705454545
416.3895487,0.738181818
425.8907363,0.767272727
437.7672209,0.792727273
449.6437055,0.818181818
454.3942993,0.836363636
466.2707838,0.865454545
475.7719715,0.887272727
487.6484561,0.909090909
506.6508314,0.92
520.9026128,0.938181818
537.5296912,0.945454545
554.1567696,0.938181818
566.0332542,0.930909091
575.5344418,0.930909091
585.0356295,0.923636364
592.1615202,0.916363636
601.6627078,0.898181818
613.5391924,0.883636364
620.6650831,0.876363636
623.04038,0.865454545
630.1662708,0.850909091
632.5415677,0.84
637.2921615,0.829090909
642.0427553,0.818181818
649.1686461,0.803636364
653.9192399,0.789090909
661.0451306,0.756363636
668.1710214,0.723636364
675.2969121,0.687272727
680.0475059,0.654545455
684.7980998,0.621818182
689.5486936,0.585454545
694.2992874,0.552727273
701.4251781,0.527272727
706.175772,0.490909091
710.9263658,0.458181818
715.6769596,0.418181818
718.0522565,0.381818182
720.4275534,0.345454545
727.5534442,0.272727273
732.304038,0.24
737.0546318,0.203636364
741.8052257,0.167272727
746.5558195,0.130909091
751.3064133,0.094545455
760.807601,0.072727273
770.3087886,0.047272727
782.1852732,0.029090909
796.4370546,0.007272727
813.064133,0
827.3159145,0
839.192399,0
862.9453682,0
